object_size_px,velocity_px_s,background,threshold_name,theta,event_rate_raw,event_rate_scaled,event_rate_eff,power_static_mW,power_dynamic_mW,dvs_power_mW,saturated,cis_power_mW,adc_bits_used,feasible,max_frame_rate_hz,required_fps,dynamic_range_dB,fps_clipped_warning,power_ratio,power_savings_mW
100,200,low_texture,low_threshold,0.1,121792.0,243584.0,243584.0,19.14,1.206,20.346,0,137.87047090837498,8,1,178.91,20.0,51.42,0,6.776293665014006,117.52447090837498
100,200,low_texture,med_threshold,0.2,121792.0,121792.0,121792.0,19.14,0.603,19.743,0,137.87047090837498,8,1,178.91,20.0,51.42,0,6.983258416065187,118.12747090837499
100,200,low_texture,high_threshold,0.4,121792.0,60896.0,60896.0,19.14,0.301,19.441,0,137.87047090837498,8,1,178.91,20.0,51.42,0,7.09173761166478,118.42947090837498
100,500,low_texture,low_threshold,0.1,304480.0,608960.0,608960.0,19.14,3.014,22.154,0,145.3917410688904,8,1,178.91,50.0,51.42,0,6.562776070636924,123.23774106889041
100,500,low_texture,med_threshold,0.2,304480.0,304480.0,304480.0,19.14,1.507,20.647,0,145.3917410688904,8,1,178.91,50.0,51.42,0,7.0417852990211856,124.74474106889042
100,500,low_texture,high_threshold,0.4,304480.0,152240.0,152240.0,19.14,0.754,19.894,0,145.3917410688904,8,1,178.91,50.0,51.42,0,7.308321155569037,125.4977410688904
25,10,high_texture,low_threshold,0.1,14616.8,29233.6,29233.6,19.14,0.145,19.285,0,133.99649484804155,9,1,89.49,4.0,57.44,0,6.948223741148123,114.71149484804155
25,10,high_texture,med_threshold,0.2,14616.8,14616.8,14616.8,19.14,0.072,19.212,0,133.99649484804155,9,1,89.49,4.0,57.44,0,6.97462496606504,114.78449484804155
25,10,high_texture,high_threshold,0.4,14616.8,7308.4,7308.4,19.14,0.036,19.176,0,133.99649484804155,9,1,89.49,4.0,57.44,0,6.987718755112723,114.82049484804155
25,50,high_texture,low_threshold,0.1,73084.0,146168.0,146168.0,19.14,0.724,19.864,0,138.55731103474886,9,1,89.49,20.0,57.44,0,6.975297575249137,118.69331103474886
25,50,high_texture,med_threshold,0.2,73084.0,73084.0,73084.0,19.14,0.362,19.502,0,138.55731103474886,9,1,89.49,20.0,57.44,0,7.104774435173257,119.05531103474887
25,50,high_texture,high_threshold,0.4,73084.0,36542.0,36542.0,19.14,0.181,19.321,0,138.55731103474886,9,1,89.49,20.0,57.44,0,7.1713322827363415,119.23631103474887
25,100,high_texture,low_threshold,0.1,146168.0,292336.0,292336.0,19.14,1.447,20.587,0,144.25833126813302,9,1,89.49,40.0,57.44,0,7.007253668243698,123.67133126813302
25,100,high_texture,med_threshold,0.2,146168.0,146168.0,146168.0,19.14,0.724,19.864,0,144.25833126813302,9,1,89.49,40.0,57.44,0,7.262300204799286,124.39433126813302
25,100,high_texture,high_threshold,0.4,146168.0,73084.0,73084.0,19.14,0.362,19.502,0,144.25833126813302,9,1,89.49,40.0,57.44,0,7.397104464574558,124.75633126813302
25,200,high_texture,low_threshold,0.1,292336.0,584672.0,584672.0,19.14,2.894,22.034,0,155.6603717349014,9,1,89.49,80.0,57.44,0,7.064553496183235,133.6263717349014
25,200,high_texture,med_threshold,0.2,292336.0,292336.0,292336.0,19.14,1.447,20.587,0,155.6603717349014,9,1,89.49,80.0,57.44,0,7.56110029314137,135.0733717349014
25,200,high_texture,high_threshold,0.4,292336.0,146168.0,146168.0,19.14,0.724,19.864,0,155.6603717349014,9,1,89.49,80.0,57.44,0,7.836305463899587,135.79637173490138
25,500,high_texture,low_threshold,0.1,730840.0,1461680.0,1461680.0,19.14,7.235,26.375,0,189.7188265574263,9,0,89.49,200.0,57.44,1,7.193130864736542,163.3438265574263
25,500,high_texture,med_threshold,0.2,730840.0,730840.0,730840.0,19.14,3.618,22.758,0,189.7188265574263,9,0,89.49,200.0,57.44,1,8.336357613033936,166.9608265574263
25,500,high_texture,high_threshold,0.4,730840.0,365420.0,365420.0,19.14,1.809,20.949,0,189.7188265574263,9,0,89.49,200.0,57.44,1,9.05622352176363,168.76982655742628
50,10,high_texture,low_threshold,0.1,15716.8,31433.6,31433.6,19.14,0.156,19.296,0,133.42639282470313,9,1,89.49,2.0,57.44,0,6.9147177044311325,114.13039282470314
50,10,high_texture,med_threshold,0.2,15716.8,15716.8,15716.8,19.14,0.078,19.218,0,133.42639282470313,9,1,89.49,2.0,57.44,0,6.9427824344210185,114.20839282470313
50,10,high_texture,high_threshold,0.4,15716.8,7858.4,7858.4,19.14,0.039,19.179,0,133.42639282470313,9,1,89.49,2.0,57.44,0,6.956900402768817,114.24739282470313
50,50,high_texture,low_threshold,0.1,78584.0,157168.0,157168.0,19.14,0.778,19.918,0,135.7068009180568,9,1,89.49,10.0,57.44,0,6.813274471234904,115.78880091805681
50,50,high_texture,med_threshold,0.2,78584.0,78584.0,78584.0,19.14,0.389,19.529,0,135.7068009180568,9,1,89.49,10.0,57.44,0,6.948988730506263,116.17780091805682
50,50,high_texture,high_threshold,0.4,78584.0,39292.0,39292.0,19.14,0.194,19.334,0,135.7068009180568,9,1,89.49,10.0,57.44,0,7.01907525178736,116.37280091805681
50,100,high_texture,low_threshold,0.1,157168.0,314336.0,314336.0,19.14,1.556,20.696,0,138.55731103474886,9,1,89.49,20.0,57.44,0,6.6948836023748,117.86131103474887
50,100,high_texture,med_threshold,0.2,157168.0,157168.0,157168.0,19.14,0.778,19.918,0,138.55731103474886,9,1,89.49,20.0,57.44,0,6.956386737360622,118.63931103474886
50,100,high_texture,high_threshold,0.4,157168.0,78584.0,78584.0,19.14,0.389,19.529,0,138.55731103474886,9,1,89.49,20.0,57.44,0,7.094951663410766,119.02831103474887
50,200,high_texture,low_threshold,0.1,314336.0,628672.0,628672.0,19.14,3.112,22.252,0,144.25833126813302,9,1,89.49,40.0,57.44,0,6.482937770453578,122.00633126813302
50,200,high_texture,med_threshold,0.2,314336.0,314336.0,314336.0,19.14,1.556,20.696,0,144.25833126813302,9,1,89.49,40.0,57.44,0,6.970348437772179,123.56233126813302
50,200,high_texture,high_threshold,0.4,314336.0,157168.0,157168.0,19.14,0.778,19.918,0,144.25833126813302,9,1,89.49,40.0,57.44,0,7.242611269612061,124.34033126813301
50,500,high_texture,low_threshold,0.1,785840.0,1571680.0,1571680.0,19.14,7.78,26.92,0,161.34734530838188,9,0,89.49,100.0,57.44,1,5.993586378468866,134.42734530838186
50,500,high_texture,med_threshold,0.2,785840.0,785840.0,785840.0,19.14,3.89,23.03,0,161.34734530838188,9,0,89.49,100.0,57.44,1,7.0059637563344275,138.31734530838187
50,500,high_texture,high_threshold,0.4,785840.0,392920.0,392920.0,19.14,1.945,21.085,0,161.34734530838188,9,0,89.49,100.0,57.44,1,7.652233592998903,140.26234530838187
100,10,high_texture,low_threshold,0.1,17916.8,35833.6,35833.6,19.14,0.177,19.317,0,133.2595788718279,9,1,89.49,1.0,57.44,0,6.8985649361613035,113.94257887182789
100,10,high_texture,med_threshold,0.2,17916.8,17916.8,17916.8,19.14,0.089,19.229,0,133.2595788718279,9,1,89.49,1.0,57.44,0,6.930135673817042,114.0305788718279
100,10,high_texture,high_threshold,0.4,17916.8,8958.4,8958.4,19.14,0.044,19.184,0,133.2595788718279,9,1,89.49,1.0,57.44,0,6.946391726012713,114.0755788718279
100,50,high_texture,low_threshold,0.1,89584.0,179168.0,179168.0,19.14,0.887,20.027,0,134.28154585971075,9,1,89.49,5.0,57.44,0,6.705025508548996,114.25454585971075
100,50,high_texture,med_threshold,0.2,89584.0,89584.0,89584.0,19.14,0.443,19.583,0,134.28154585971075,9,1,89.49,5.0,57.44,0,6.8570467170357325,114.69854585971075
100,50,high_texture,high_threshold,0.4,89584.0,44792.0,44792.0,19.14,0.222,19.362,0,134.28154585971075,9,1,89.49,5.0,57.44,0,6.935313803311164,114.91954585971075
100,100,high_texture,low_threshold,0.1,179168.0,358336.0,358336.0,19.14,1.774,20.914,0,135.7068009180568,9,1,89.49,10.0,57.44,0,6.488801803483638,114.79280091805681
100,100,high_texture,med_threshold,0.2,179168.0,179168.0,179168.0,19.14,0.887,20.027,0,135.7068009180568,9,1,89.49,10.0,57.44,0,6.776192186451131,115.67980091805681
100,100,high_texture,high_threshold,0.4,179168.0,89584.0,89584.0,19.14,0.443,19.583,0,135.7068009180568,9,1,89.49,10.0,57.44,0,6.929826937550775,116.12380091805682
100,200,high_texture,low_threshold,0.1,358336.0,716672.0,716672.0,19.14,3.548,22.688,0,138.55731103474886,9,1,89.49,20.0,57.44,0,6.107074710628917,115.86931103474886
100,200,high_texture,med_threshold,0.2,358336.0,358336.0,358336.0,19.14,1.774,20.914,0,138.55731103474886,9,1,89.49,20.0,57.44,0,6.625098548089741,117.64331103474886
100,200,high_texture,high_threshold,0.4,358336.0,179168.0,179168.0,19.14,0.887,20.027,0,138.55731103474886,9,1,89.49,20.0,57.44,0,6.918525542255398,118.53031103474886
100,500,high_texture,low_threshold,0.1,895840.0,1791680.0,1791680.0,19.14,8.869,28.009,0,147.10884138482513,9,1,89.49,50.0,57.44,0,5.252198985498415,119.09984138482513
100,500,high_texture,med_threshold,0.2,895840.0,895840.0,895840.0,19.14,4.434,23.574,0,147.10884138482513,9,1,89.49,50.0,57.44,0,6.240300389616744,123.53484138482513
100,500,high_texture,high_threshold,0.4,895840.0,447920.0,447920.0,19.14,2.217,21.357,0,147.10884138482513,9,1,89.49,50.0,57.44,0,6.888085470095291,125.75184138482513
