frame_idx,theta,threshold_name,mode,fired_pixels,event_rate,event_rate_eff,e_per_event_nJ,power_static_mW,power_dyn_valid_mW,power_dyn_fp_mW,power_dyn_fn_mW,power_total_mW
47,0.1,low_threshold,clean,31225,936750,936750,0.1678,345.458,0.149,0.016,0.008,345.623
47,0.1,low_threshold,noisy,105352,3160560,3160560,0.1678,345.458,0.504,0.053,0.027,346.015
48,0.1,low_threshold,clean,29762,892860,892860,0.1678,345.458,0.142,0.015,0.007,345.615
48,0.1,low_threshold,noisy,104522,3135660,3135660,0.1678,345.458,0.5,0.053,0.026,346.01
49,0.1,low_threshold,clean,28832,864960,864960,0.1678,345.458,0.138,0.015,0.007,345.61
49,0.1,low_threshold,noisy,103582,3107460,3107460,0.1678,345.458,0.495,0.052,0.026,346.005
50,0.1,low_threshold,clean,36664,1099920,1099920,0.1678,345.458,0.175,0.018,0.009,345.652
50,0.1,low_threshold,noisy,111201,3336030,3336030,0.1678,345.458,0.532,0.056,0.028,346.046
51,0.1,low_threshold,clean,29329,879870,879870,0.1678,345.458,0.14,0.015,0.007,345.613
51,0.1,low_threshold,noisy,103860,3115800,3115800,0.1678,345.458,0.497,0.052,0.026,346.007
52,0.1,low_threshold,clean,29474,884220,884220,0.1678,345.458,0.141,0.015,0.007,345.614
52,0.1,low_threshold,noisy,103792,3113760,3113760,0.1678,345.458,0.496,0.052,0.026,346.006
53,0.1,low_threshold,clean,33575,1007250,1007250,0.1678,345.458,0.161,0.017,0.008,345.635
53,0.1,low_threshold,noisy,108106,3243180,3243180,0.1678,345.458,0.517,0.054,0.027,346.029
54,0.1,low_threshold,clean,33314,999420,999420,0.1678,345.458,0.159,0.017,0.008,345.634
54,0.1,low_threshold,noisy,107871,3236130,3236130,0.1678,345.458,0.516,0.054,0.027,346.028
55,0.1,low_threshold,clean,28633,858990,858990,0.1678,345.458,0.137,0.014,0.007,345.609
55,0.1,low_threshold,noisy,103634,3109020,3109020,0.1678,345.458,0.496,0.052,0.026,346.006
56,0.1,low_threshold,clean,29259,877770,877770,0.1678,345.458,0.14,0.015,0.007,345.612
56,0.1,low_threshold,noisy,103971,3119130,3119130,0.1678,345.458,0.497,0.052,0.026,346.007
57,0.1,low_threshold,clean,37529,1125870,1125870,0.1678,345.458,0.18,0.019,0.009,345.656
57,0.1,low_threshold,noisy,111666,3349980,3349980,0.1678,345.458,0.534,0.056,0.028,346.048
