sensor_name,sensor_type,operating_point,theta,fps_used,coast,seed,power_mw,hota,det_a,ass_a,mota,idf1,id_switches,num_pred,num_det_input
IMX462 (Sony),CIS,fps=5,,5.0,False,1,24.4167,0.3194,0.1473,0.708,0.1605,0.2627,33,7720,8382
IMX462 (Sony),CIS,fps=5,,5.0,False,2,24.4167,0.292,0.1466,0.5991,0.1592,0.2507,55,7689,8351
IMX462 (Sony),CIS,fps=5,,5.0,False,3,24.4167,0.3212,0.1475,0.7159,0.1605,0.2649,30,7724,8360
IMX462 (Sony),CIS,fps=5,,5.0,False,4,24.4167,0.3134,0.1472,0.6839,0.1603,0.2599,40,7704,8340
IMX462 (Sony),CIS,fps=5,,5.0,False,5,24.4167,0.3194,0.1474,0.7084,0.1611,0.2654,34,7724,8347
OV7251 (OmniVision),CIS,fps=120,,120.0,False,1,40.0,0.8621,0.8461,0.9117,0.9364,0.9413,12,44613,47342
OV7251 (OmniVision),CIS,fps=120,,120.0,False,2,40.0,0.8391,0.8471,0.8614,0.937,0.916,21,44636,47333
OV7251 (OmniVision),CIS,fps=120,,120.0,False,3,40.0,0.8286,0.8445,0.8461,0.9347,0.933,20,44510,47160
OV7251 (OmniVision),CIS,fps=120,,120.0,False,4,40.0,0.82,0.8466,0.8233,0.9369,0.9236,32,44672,47347
OV7251 (OmniVision),CIS,fps=120,,120.0,False,5,40.0,0.835,0.8443,0.8567,0.9346,0.9319,26,44574,47196
OV7251 (OmniVision),CIS,fps=15,,15.0,False,1,6.75,0.5608,0.4161,0.7893,0.4647,0.6015,34,22223,23654
OV7251 (OmniVision),CIS,fps=15,,15.0,False,2,6.75,0.5509,0.4167,0.7597,0.4667,0.6012,26,22266,23739
OV7251 (OmniVision),CIS,fps=15,,15.0,False,3,6.75,0.5897,0.4159,0.8707,0.4654,0.6239,19,22199,23619
OV7251 (OmniVision),CIS,fps=15,,15.0,False,4,6.75,0.5622,0.4174,0.7894,0.4667,0.6183,26,22283,23640
OV7251 (OmniVision),CIS,fps=15,,15.0,False,5,6.75,0.5609,0.4154,0.7905,0.4647,0.5972,26,22190,23576
OV7251 (OmniVision),CIS,fps=30,,30.0,False,1,11.5,0.8621,0.8461,0.9117,0.9364,0.9413,12,44613,47342
OV7251 (OmniVision),CIS,fps=30,,30.0,False,2,11.5,0.8391,0.8471,0.8614,0.937,0.916,21,44636,47333
OV7251 (OmniVision),CIS,fps=30,,30.0,False,3,11.5,0.8286,0.8445,0.8461,0.9347,0.933,20,44510,47160
OV7251 (OmniVision),CIS,fps=30,,30.0,False,4,11.5,0.82,0.8466,0.8233,0.9369,0.9236,32,44672,47347
OV7251 (OmniVision),CIS,fps=30,,30.0,False,5,11.5,0.835,0.8443,0.8567,0.9346,0.9319,26,44574,47196
OV7251 (OmniVision),CIS,fps=5,,5.0,False,1,3.5833,0.1354,0.1144,0.181,0.124,0.0933,412,6387,7906
OV7251 (OmniVision),CIS,fps=5,,5.0,False,2,3.5833,0.1357,0.1146,0.1822,0.1243,0.0906,418,6419,7908
OV7251 (OmniVision),CIS,fps=5,,5.0,False,3,3.5833,0.1275,0.1111,0.167,0.1193,0.0812,472,6205,7810
OV7251 (OmniVision),CIS,fps=5,,5.0,False,4,3.5833,0.1327,0.1137,0.176,0.1229,0.0901,433,6346,7880
OV7251 (OmniVision),CIS,fps=5,,5.0,False,5,3.5833,0.1357,0.1147,0.1822,0.1248,0.0957,409,6421,7894
DAVIS346,DVS,theta=0.05,0.05,,False,1,10.0,0.1371,0.329,0.1348,0.3751,0.2357,2086,23895,31412
DAVIS346,DVS,theta=0.05,0.05,,False,2,10.0,0.1388,0.3308,0.1389,0.3829,0.2372,2045,24022,31549
DAVIS346,DVS,theta=0.05,0.05,,False,3,10.0,0.1374,0.3299,0.1332,0.3752,0.2268,2046,23974,31507
DAVIS346,DVS,theta=0.05,0.05,,False,4,10.0,0.1334,0.3265,0.1329,0.3728,0.2122,2097,23789,31480
