sensor_name,sensor_type,velocity_px_s,obj_size_px,bg_density,bg_label,operating_point,theta,fps_used,event_rate_ev_s,power_mw,power_static_mw,power_dynamic_mw,saturated,resolution,sensor_price
Lichtsteiner 2008,DVS,10,100,0.05,low_texture,theta=0.10,0.1,,12179.2,19.1558,19.14,0.015825,False,128x128,N/A (research)
Lichtsteiner 2008,DVS,10,100,0.05,low_texture,theta=0.20,0.2,,6089.6,19.1717,19.14,0.03165,False,128x128,N/A (research)
Lichtsteiner 2008,DVS,10,100,0.05,low_texture,theta=0.40,0.4,,3044.8,19.2033,19.14,0.063302,False,128x128,N/A (research)
DAVIS346,DVS,10,100,0.05,low_texture,theta=0.05,0.05,,24358.4,10.0008,10.0,0.000784,False,346x260,"~$3,000 (dev kit)"
DAVIS346,DVS,10,100,0.05,low_texture,theta=0.10,0.1,,12179.2,10.0016,10.0,0.001566,False,346x260,"~$3,000 (dev kit)"
DAVIS346,DVS,10,100,0.05,low_texture,theta=0.20,0.2,,6089.6,10.0031,10.0,0.003133,False,346x260,"~$3,000 (dev kit)"
DAVIS346,DVS,10,100,0.05,low_texture,theta=0.40,0.4,,3044.8,10.0063,10.0,0.006266,False,346x260,"~$3,000 (dev kit)"
Samsung DVS-Gen3.1,DVS,10,100,0.05,low_texture,theta=0.05,0.05,,24358.4,10.0003,10.0,0.000319,False,640x480,~$100-300 (module)
Samsung DVS-Gen3.1,DVS,10,100,0.05,low_texture,theta=0.10,0.1,,12179.2,10.0006,10.0,0.00064,False,640x480,~$100-300 (module)
Samsung DVS-Gen3.1,DVS,10,100,0.05,low_texture,theta=0.20,0.2,,6089.6,10.0013,10.0,0.001279,False,640x480,~$100-300 (module)
Samsung DVS-Gen3.1,DVS,10,100,0.05,low_texture,theta=0.40,0.4,,3044.8,10.0026,10.0,0.002558,False,640x480,~$100-300 (module)
Prophesee IMX636,DVS,10,100,0.05,low_texture,theta=0.05,0.05,,24358.4,32.0002,32.0,0.00016,False,1280x720,"~$3,500 (EVK4 kit)"
Prophesee IMX636,DVS,10,100,0.05,low_texture,theta=0.10,0.1,,12179.2,32.0003,32.0,0.000319,False,1280x720,"~$3,500 (EVK4 kit)"
Prophesee IMX636,DVS,10,100,0.05,low_texture,theta=0.20,0.2,,6089.6,32.0006,32.0,0.00064,False,1280x720,"~$3,500 (EVK4 kit)"
Prophesee IMX636,DVS,10,100,0.05,low_texture,theta=0.40,0.4,,3044.8,32.0013,32.0,0.001279,False,1280x720,"~$3,500 (EVK4 kit)"
OV7251 (OmniVision),CIS,10,100,0.4,high_texture,locked,,800.0,,40.0,,,False,640x480,~$3-5
OV7251 (OmniVision),CIS,10,100,0.4,high_texture,adaptive,,1.0,,2.3167,,,False,640x480,~$3-5
IMX327 (Sony),CIS,10,100,0.4,high_texture,locked,,800.0,,300.0,,,False,1920x1080,~$15-25
IMX327 (Sony),CIS,10,100,0.4,high_texture,adaptive,,1.0,,19.75,,,False,1920x1080,~$15-25
AR0234 (ON Semi),CIS,10,100,0.4,high_texture,locked,,800.0,,250.0,,,False,1920x1200,~$20-40
AR0234 (ON Semi),CIS,10,100,0.4,high_texture,adaptive,,1.0,,12.0,,,False,1920x1200,~$20-40
IMX462 (Sony),CIS,10,100,0.4,high_texture,locked,,800.0,,310.0,,,False,1920x1080,~$20-30
IMX462 (Sony),CIS,10,100,0.4,high_texture,adaptive,,1.0,,14.4833,,,False,1920x1080,~$20-30
Lichtsteiner 2008,DVS,10,100,0.4,high_texture,theta=0.05,0.05,,71667.2,19.1633,19.14,0.02328,False,128x128,N/A (research)
Lichtsteiner 2008,DVS,10,100,0.4,high_texture,theta=0.10,0.1,,35833.6,19.1866,19.14,0.046561,False,128x128,N/A (research)
Lichtsteiner 2008,DVS,10,100,0.4,high_texture,theta=0.20,0.2,,17916.8,19.2331,19.14,0.093123,False,128x128,N/A (research)
Lichtsteiner 2008,DVS,10,100,0.4,high_texture,theta=0.40,0.4,,8958.4,19.3262,19.14,0.186246,False,128x128,N/A (research)
DAVIS346,DVS,10,100,0.4,high_texture,theta=0.05,0.05,,71667.2,10.0023,10.0,0.002304,False,346x260,"~$3,000 (dev kit)"
DAVIS346,DVS,10,100,0.4,high_texture,theta=0.10,0.1,,35833.6,10.0046,10.0,0.004609,False,346x260,"~$3,000 (dev kit)"
DAVIS346,DVS,10,100,0.4,high_texture,theta=0.20,0.2,,17916.8,10.0092,10.0,0.009218,False,346x260,"~$3,000 (dev kit)"
DAVIS346,DVS,10,100,0.4,high_texture,theta=0.40,0.4,,8958.4,10.0184,10.0,0.018437,False,346x260,"~$3,000 (dev kit)"
Samsung DVS-Gen3.1,DVS,10,100,0.4,high_texture,theta=0.05,0.05,,71667.2,10.0009,10.0,0.000941,False,640x480,~$100-300 (module)
Samsung DVS-Gen3.1,DVS,10,100,0.4,high_texture,theta=0.10,0.1,,35833.6,10.0019,10.0,0.001881,False,640x480,~$100-300 (module)
Samsung DVS-Gen3.1,DVS,10,100,0.4,high_texture,theta=0.20,0.2,,17916.8,10.0038,10.0,0.003762,False,640x480,~$100-300 (module)
Samsung DVS-Gen3.1,DVS,10,100,0.4,high_texture,theta=0.40,0.4,,8958.4,10.0075,10.0,0.007525,False,640x480,~$100-300 (module)
Prophesee IMX636,DVS,10,100,0.4,high_texture,theta=0.05,0.05,,71667.2,32.0005,32.0,0.000471,False,1280x720,"~$3,500 (EVK4 kit)"
Prophesee IMX636,DVS,10,100,0.4,high_texture,theta=0.10,0.1,,35833.6,32.0009,32.0,0.000941,False,1280x720,"~$3,500 (EVK4 kit)"
Prophesee IMX636,DVS,10,100,0.4,high_texture,theta=0.20,0.2,,17916.8,32.0019,32.0,0.001881,False,1280x720,"~$3,500 (EVK4 kit)"
Prophesee IMX636,DVS,10,100,0.4,high_texture,theta=0.40,0.4,,8958.4,32.0038,32.0,0.003762,False,1280x720,"~$3,500 (EVK4 kit)"
OV7251 (OmniVision),CIS,50,25,0.05,low_texture,locked,,800.0,,40.0,,,False,640x480,~$3-5
OV7251 (OmniVision),CIS,50,25,0.05,low_texture,adaptive,,20.0,,8.3333,,,False,640x480,~$3-5
IMX327 (Sony),CIS,50,25,0.05,low_texture,locked,,800.0,,300.0,,,False,1920x1080,~$15-25
IMX327 (Sony),CIS,50,25,0.05,low_texture,adaptive,,20.0,,110.0,,,False,1920x1080,~$15-25
AR0234 (ON Semi),CIS,50,25,0.05,low_texture,locked,,800.0,,250.0,,,False,1920x1200,~$20-40
AR0234 (ON Semi),CIS,50,25,0.05,low_texture,adaptive,,20.0,,50.0,,,False,1920x1200,~$20-40
IMX462 (Sony),CIS,50,25,0.05,low_texture,locked,,800.0,,310.0,,,False,1920x1080,~$20-30
IMX462 (Sony),CIS,50,25,0.05,low_texture,adaptive,,20.0,,61.6667,,,False,1920x1080,~$20-30
Lichtsteiner 2008,DVS,50,25,0.05,low_texture,theta=0.05,0.05,,55792.0,19.1581,19.14,0.018124,False,128x128,N/A (research)
Lichtsteiner 2008,DVS,50,25,0.05,low_texture,theta=0.10,0.1,,27896.0,19.1762,19.14,0.036247,False,128x128,N/A (research)
Lichtsteiner 2008,DVS,50,25,0.05,low_texture,theta=0.20,0.2,,13948.0,19.2125,19.14,0.072494,False,128x128,N/A (research)
Lichtsteiner 2008,DVS,50,25,0.05,low_texture,theta=0.40,0.4,,6974.0,19.285,19.14,0.14499,False,128x128,N/A (research)
DAVIS346,DVS,50,25,0.05,low_texture,theta=0.05,0.05,,55792.0,10.0018,10.0,0.001794,False,346x260,"~$3,000 (dev kit)"
DAVIS346,DVS,50,25,0.05,low_texture,theta=0.10,0.1,,27896.0,10.0036,10.0,0.003588,False,346x260,"~$3,000 (dev kit)"
DAVIS346,DVS,50,25,0.05,low_texture,theta=0.20,0.2,,13948.0,10.0072,10.0,0.007176,False,346x260,"~$3,000 (dev kit)"
DAVIS346,DVS,50,25,0.05,low_texture,theta=0.40,0.4,,6974.0,10.0144,10.0,0.014353,False,346x260,"~$3,000 (dev kit)"
Samsung DVS-Gen3.1,DVS,50,25,0.05,low_texture,theta=0.05,0.05,,55792.0,10.0007,10.0,0.000733,False,640x480,~$100-300 (module)
Samsung DVS-Gen3.1,DVS,50,25,0.05,low_texture,theta=0.10,0.1,,27896.0,10.0015,10.0,0.001464,False,640x480,~$100-300 (module)
Samsung DVS-Gen3.1,DVS,50,25,0.05,low_texture,theta=0.20,0.2,,13948.0,10.0029,10.0,0.002929,False,640x480,~$100-300 (module)
Samsung DVS-Gen3.1,DVS,50,25,0.05,low_texture,theta=0.40,0.4,,6974.0,10.0059,10.0,0.005858,False,640x480,~$100-300 (module)
Prophesee IMX636,DVS,50,25,0.05,low_texture,theta=0.05,0.05,,55792.0,32.0004,32.0,0.000366,False,1280x720,"~$3,500 (EVK4 kit)"
Prophesee IMX636,DVS,50,25,0.05,low_texture,theta=0.10,0.1,,27896.0,32.0007,32.0,0.000733,False,1280x720,"~$3,500 (EVK4 kit)"
Prophesee IMX636,DVS,50,25,0.05,low_texture,theta=0.20,0.2,,13948.0,32.0015,32.0,0.001464,False,1280x720,"~$3,500 (EVK4 kit)"
Prophesee IMX636,DVS,50,25,0.05,low_texture,theta=0.40,0.4,,6974.0,32.0029,32.0,0.002929,False,1280x720,"~$3,500 (EVK4 kit)"
OV7251 (OmniVision),CIS,50,25,0.4,high_texture,locked,,800.0,,40.0,,,False,640x480,~$3-5
OV7251 (OmniVision),CIS,50,25,0.4,high_texture,adaptive,,20.0,,8.3333,,,False,640x480,~$3-5
IMX327 (Sony),CIS,50,25,0.4,high_texture,locked,,800.0,,300.0,,,False,1920x1080,~$15-25
IMX327 (Sony),CIS,50,25,0.4,high_texture,adaptive,,20.0,,110.0,,,False,1920x1080,~$15-25
AR0234 (ON Semi),CIS,50,25,0.4,high_texture,locked,,800.0,,250.0,,,False,1920x1200,~$20-40
AR0234 (ON Semi),CIS,50,25,0.4,high_texture,adaptive,,20.0,,50.0,,,False,1920x1200,~$20-40
IMX462 (Sony),CIS,50,25,0.4,high_texture,locked,,800.0,,310.0,,,False,1920x1080,~$20-30
IMX462 (Sony),CIS,50,25,0.4,high_texture,adaptive,,20.0,,61.6667,,,False,1920x1080,~$20-30
Lichtsteiner 2008,DVS,50,25,0.4,high_texture,theta=0.05,0.05,,292336.0,19.235,19.14,0.094963,False,128x128,N/A (research)
Lichtsteiner 2008,DVS,50,25,0.4,high_texture,theta=0.10,0.1,,146168.0,19.3299,19.14,0.189927,False,128x128,N/A (research)
Lichtsteiner 2008,DVS,50,25,0.4,high_texture,theta=0.20,0.2,,73084.0,19.5199,19.14,0.379855,False,128x128,N/A (research)
Lichtsteiner 2008,DVS,50,25,0.4,high_texture,theta=0.40,0.4,,36542.0,19.8997,19.14,0.759708,False,128x128,N/A (research)
DAVIS346,DVS,50,25,0.4,high_texture,theta=0.05,0.05,,292336.0,10.0094,10.0,0.0094,False,346x260,"~$3,000 (dev kit)"
DAVIS346,DVS,50,25,0.4,high_texture,theta=0.10,0.1,,146168.0,10.0188,10.0,0.018801,False,346x260,"~$3,000 (dev kit)"
DAVIS346,DVS,50,25,0.4,high_texture,theta=0.20,0.2,,73084.0,10.0376,10.0,0.037602,False,346x260,"~$3,000 (dev kit)"
DAVIS346,DVS,50,25,0.4,high_texture,theta=0.40,0.4,,36542.0,10.0752,10.0,0.075203,False,346x260,"~$3,000 (dev kit)"
Samsung DVS-Gen3.1,DVS,50,25,0.4,high_texture,theta=0.05,0.05,,292336.0,10.0038,10.0,0.003836,False,640x480,~$100-300 (module)
Samsung DVS-Gen3.1,DVS,50,25,0.4,high_texture,theta=0.10,0.1,,146168.0,10.0077,10.0,0.007674,False,640x480,~$100-300 (module)
Samsung DVS-Gen3.1,DVS,50,25,0.4,high_texture,theta=0.20,0.2,,73084.0,10.0153,10.0,0.015348,False,640x480,~$100-300 (module)
Samsung DVS-Gen3.1,DVS,50,25,0.4,high_texture,theta=0.40,0.4,,36542.0,10.0307,10.0,0.030695,False,640x480,~$100-300 (module)
Prophesee IMX636,DVS,50,25,0.4,high_texture,theta=0.05,0.05,,292336.0,32.0019,32.0,0.001919,False,1280x720,"~$3,500 (EVK4 kit)"
Prophesee IMX636,DVS,50,25,0.4,high_texture,theta=0.10,0.1,,146168.0,32.0038,32.0,0.003836,False,1280x720,"~$3,500 (EVK4 kit)"
Prophesee IMX636,DVS,50,25,0.4,high_texture,theta=0.20,0.2,,73084.0,32.0077,32.0,0.007674,False,1280x720,"~$3,500 (EVK4 kit)"
